Epoch,Time(s),Loss,Precision
00687,2.2044,0.0701,0.6764
00688,2.2044,0.0839,0.9475
00689,2.2044,0.0947,0.9434
00690,2.2044,0.0955,0.8701
00691,2.2044,0.0747,0.5261
00692,2.2044,0.1056,0.9434
00693,2.2044,0.0867,0.8830
00694,2.2044,0.1055,0.9676
00695,2.2044,0.1004,0.9059
00696,2.2044,0.0842,0.8277
00697,2.2044,0.0806,0.7386
00698,2.2044,0.0907,0.7746
00699,2.2043,0.0869,0.8104
00700,2.2043,0.0817,0.9420
00701,2.2043,0.0813,0.9542
00702,2.2043,0.0844,0.8674
00703,2.2043,0.0867,0.9547
00704,2.2043,0.0833,0.9132
00705,2.2043,0.0792,0.7888
00706,2.2043,0.0817,0.8330
00707,2.2043,0.0813,0.8445
00708,2.2043,0.0814,0.8554
00709,2.2043,0.0778,0.8539
00710,2.2043,0.0777,0.9264
00711,2.2043,0.0782,0.9282
00712,2.2043,0.0783,0.8580
00713,2.2043,0.0780,0.8845
00714,2.2043,0.0752,0.8566
00715,2.2043,0.0758,0.8229
00716,2.2043,0.0758,0.8285
00717,2.2043,0.0756,0.8871
00718,2.2043,0.0743,0.9150
00719,2.2043,0.0748,0.8962
00720,2.2042,0.0746,0.8930
00721,2.2042,0.0737,0.8837
00722,2.2042,0.0737,0.8572
00723,2.2042,0.0735,0.8480
00724,2.2042,0.0735,0.8877
00725,2.2042,0.0728,0.9101
00726,2.2042,0.0729,0.8985
00727,2.2042,0.0727,0.8903
00728,2.2042,0.0724,0.8840
00729,2.2044,0.0723,0.8731
00730,2.2044,0.0721,0.8704
00731,2.2044,0.0721,0.8969
00732,2.2044,0.0718,0.9056
00733,2.2044,0.0717,0.8897
00734,2.2044,0.0716,0.8847
00735,2.2044,0.0713,0.8861
00736,2.2044,0.0713,0.8853
00737,2.2044,0.0712,0.8910
00738,2.2044,0.0710,0.9023
00739,2.2044,0.0709,0.8919
00740,2.2044,0.0709,0.8833
00741,2.2044,0.0708,0.8916
00742,2.2044,0.0706,0.8957
00743,2.2044,0.0706,0.8952
00744,2.2044,0.0705,0.8969
00745,2.2044,0.0704,0.8971
00746,2.2044,0.0703,0.8931
00747,2.2044,0.0702,0.8957
00748,2.2044,0.0702,0.8997
00749,2.2043,0.0701,0.8953
00750,2.2043,0.0700,0.8953
00751,2.2043,0.0700,0.9021
00752,2.2043,0.0699,0.8983
00753,2.2043,0.0698,0.8957
00754,2.2043,0.0697,0.8985
00755,2.2043,0.0697,0.8984
00756,2.2043,0.0696,0.8993
00757,2.2043,0.0696,0.9026
00758,2.2043,0.0695,0.9000
00759,2.2043,0.0694,0.8992
00760,2.2043,0.0694,0.9036
00761,2.2043,0.0694,0.9009
00762,2.2043,0.0693,0.8979
00763,2.2043,0.0693,0.9023
00764,2.2043,0.0692,0.9033
00765,2.2043,0.0691,0.9013
00766,2.2043,0.0691,0.9016
00767,2.2043,0.0691,0.9010
00768,2.2043,0.0690,0.9026
00769,2.2043,0.0690,0.9044
00770,2.2042,0.0689,0.9022
00771,2.2042,0.0689,0.9021
00772,2.2042,0.0688,0.9038
